PROBABILIIES   AVERAGE    SD     LOWER_BOUND_CI   UPPER_BOUND_CI   
0.0             0.00     0.00          0.00           0.00   
0.05             2.33     3.16          1.70           2.96   
0.1             10.51     13.88          7.76           13.26   
0.15             33.39     29.44          27.56           39.22   
0.2             51.32     37.38          43.92           58.72   
0.25             67.90     34.49          61.07           74.73   
0.3             69.09     40.46          61.08           77.10   
0.35             79.54     34.46          72.72           86.36   
0.4             66.59     44.80          57.72           75.46   
0.45             80.04     37.66          72.58           87.50   
0.5             81.21     37.00          73.88           88.54   
0.55             71.58     43.72          62.92           80.24   
0.6             80.85     38.08          73.31           88.39   
0.65             78.95     39.68          71.09           86.81   
0.7             83.87     35.42          76.86           90.88   
0.75             73.03     43.45          64.43           81.63   
0.8             79.11     39.76          71.24           86.98   
0.85             79.01     39.71          71.15           86.87   
0.9             83.08     36.45          75.86           90.30   
0.95             78.12     40.48          70.10           86.14   
1.0             74.18     43.05          65.66           82.70   
